English,Chinese,Vietnamese
This booking is not the latest version. Would you like to create or edit the report?,此预约不是最新版本，是否创建或编辑报告？,Lịch đặt này không phải là phiên bản mới nhất. Bạn có muốn tạo hoặc chỉnh sửa báo cáo không?
Planned Inspection Date Has Passed,计划检验日期已过,Ngày kiểm tra dự kiến ​​đã qua
The planned inspection date for this booking has passed. Would you like to create or edit the report?,计划检验日期已过，是否创建或编辑报告？,Ngày kiểm tra dự kiến ​​cho lần đặt lịch này đã qua. Bạn có muốn tạo hoặc chỉnh sửa báo cáo không?
"When the defect details report is empty, you have to add the test items that are defined in the report template or create new test items to it.",当缺陷详情为空时，您需在报告模板中添加定义的测试产品或新建测试产品。,"Khi báo cáo chi tiết lỗi trống, bạn phải thêm các mục kiểm tra được xác định trong mẫu báo cáo hoặc tạo các mục kiểm tra mới vào đó."
Camera Permission Denied,相机权限被拒绝,Quyền truy cập máy ảnh bị từ chối
"You have blocked camera access. To scan QR code, please go to Settings to enable it.",您已禁用相机访问。若需扫描二维码，请前往设置中启用。,"Bạn đã chặn quyền truy cập máy ảnh. Để quét mã QR, vui lòng vào Cài đặt để bật."
Enable the permission in the Settings to take photos.,请在设置中启用权限以拍照。,Bật quyền chụp ảnh trong Cài đặt.
Album Permission Denied,相册权限被拒绝,Quyền truy cập album bị từ chối
Enable the permission in the Settings to upload photos.,请在设置中启用权限以上传照片。,Bật quyền tải ảnh lên trong Cài đặt.
Microphone Permission Denied,麦克风权限被拒绝,Quyền truy cập micrô bị từ chối
Enable the permission in the Settings to record voice.,请在设置中启用权限以录音。,Bật quyền ghi âm giọng nói trong Cài đặt.
No GPS Coord.,无GPS坐标,Không có tọa độ GPS.
Image,图片,Hình ảnh
Attachment Quality,附件质量,Chất lượng tệp đính kèm
Standard,标准,Tiêu chuẩn
"High (Slower, more data)",高质量（较慢，更多数据）,"Cao (Chậm hơn, nhiều dữ liệu hơn)"
Original (No change),原始（无压缩）,Bản gốc (Không thay đổi)
Details,详情,Chi tiết
 ...more,更多......,...thêm
Upload File,上传文件,Tải tệp lên
Signed Location,签名位置,Vị trí đã ký
Your Account has been Blocked,您的账户已被锁定,Tài khoản của bạn đã bị chặn
You have reached the maximum number of invalid sign-in attempts. Please update your password on CBX server to unblock account.,因多次登录失败，您的账户已被锁定。请在CBX服务器更新密码以解锁。,Bạn đã đạt đến số lần đăng nhập không hợp lệ tối đa. Vui lòng cập nhật mật khẩu trên máy chủ CBX để bỏ chặn tài khoản.
This feature helps to speed up the upload time and reduce data consumption. The attachments will be compressed upon creation.,此功能可加快上传速度并减少数据使用量，附件将在创建时压缩。,Tính năng này giúp tăng tốc thời gian tải lên và giảm mức tiêu thụ dữ liệu. Tệp đính kèm sẽ được nén khi tạo.
Inspection,检验,Kiểm tra
Product Inspection Bookings & Reports,产品检验预约与报告,Đặt lịch & Báo cáo Kiểm tra Sản phẩm
Audit,审核,Kiểm toán
Factory Audits & Reports,工厂审核与报告,Kiểm toán & Báo cáo Nhà máy
Back to Login,返回登录,Quay lại Đăng nhập
Select Your Role,选择角色,Chọn Vai trò của bạn
Audits,审核,Kiểm toán
No Audits,无审核,Không có Kiểm toán
Download audits by clicking on â€œSyncâ€ or clear the filter,请点击“同步”下载审核或清除筛选,"Tải xuống bản kiểm toán bằng cách nhấp vào ""Đồng bộ hóa"" hoặc xóa bộ lọc"
Delete Audit,删除审核,Xóa bản kiểm toán
Are you sure to delete this audit and related report(s)? This action cannot be undone.,您确定要删除此审核及相关报告吗？此操作不可撤销。,Bạn có chắc chắn muốn xóa bản kiểm toán này và (các) báo cáo liên quan không? Hành động này không thể hoàn tác.
Details,详情,Chi tiết
Details - 2,详情-2,Chi tiết - 2
Details - 3,详情-3,Chi tiết - 3
Details - 4,详情-4,Chi tiết - 4
Details - 5,详情-5,Chi tiết - 5
Last Updated: ,最后更新：,Cập nhật lần cuối:
Report No.,报告编号,Số báo cáo
Audit Type,审核类型,Loại kiểm toán
Auditor,审核员,Kiểm toán viên
Partner Name,合作伙伴名称,Tên đối tác
Facility Address,设施地址,Địa chỉ cơ sở
Contact Number,联系电话,Số điện thoại liên hệ
Contact Email,联系邮箱,Email liên hệ
Status Score (Total),状态评分（总分）,Điểm Trạng thái (Tổng)
Maximum Score (Total),最高评分（总分）,Điểm Tối đa (Tổng)
Overall Score (%),总体评分（%）,Điểm Tổng thể (%)
Overall Rating,总体评级,Đánh giá Tổng thể
Audit Result,审核结果,Kết quả Kiểm toán
Zero Tolerance Failure,零缺陷,Lỗi nghiêm trọng – không chấp nhận
Sign Here,请在此处签名,Ký tại đây
Planned Audit Date,计划审核日期,Ngày Kiểm toán Dự kiến
Audit Date,审核日期,Ngày Kiểm toán
Report Date,报告日期,Ngày Báo cáo
Expiry Date,到期日期,Ngày Hết hạn
Are you sure you want to resume the report? All signatures will be erased and need to sign again after resume.,您确定要恢复该报告吗？恢复后所有签名将被清除，需重新签署。,Bạn có chắc chắn muốn tiếp tục báo cáo không? Tất cả chữ ký sẽ bị xóa và cần ký lại sau khi tiếp tục.
No Factory Audit is downloaded/uploaded,暂无已下载/上传的工厂审核,Không có Kiểm toán Nhà máy nào được tải xuống/tải lên
{} Factory Audit(s) downloaded.,已下载 {} 个工厂审核。,{} kiểm toán nhà máy đã được tải xuống 
{} Factory Audit(s) download failed.,下载 {} 个工厂审核失败。,Tải xuống {} kiểm toán nhà máy không thành công.
{} Factory Audit(s) uploaded.,已上传 {} 个工厂审核。,{} kiểm toán nhà máy đã được tải lên.
{} Factory Audit(s) upload failed.,上传 {} 个工厂审核失败。,Tải lên {} kiểm toán nhà máy không thành công.
"No booking is downloaded.
No report is uploaded.",未下载任何预约。未上传任何报告。,"Không có lịch đặt nào được tải xuống.
Không có báo cáo nào được tải lên."
{} booking(s) downloaded.,已下载 {} 个预约。,{} lịch đặt đã được tải xuống.
{} booking(s) download failed.,下载 {} 个预约失败。,Tải xuống {} lịch đặt không thành công.
{} report(s) uploaded.,已上传 {} 份报告。,{} báo cáo đã được tải lên.
{} report(s) upload failed.,上传 {} 份报告失败。,Tải lên {} báo cáo không thành công.
No report is downloaded.,未下载任何报告。,Không có báo cáo nào được tải xuống.
{} report(s) downloaded.,已下载 {} 份报告。,{} báo cáo đã được tải xuống.
You cannot sign under read mode,您无法在只读模式下签名,Bạn không thể đăng nhập ở chế độ đọc
Please fill in all required fields highlighted in red before signing.,请在签名前填写所有红色标注必填项。,Vui lòng điền đầy đủ thông tin vào tất cả các trường bắt buộc được đánh dấu màu đỏ trước khi ký.
Your current location is out of factory range.,您当前位置已超出工厂范围。,Vị trí hiện tại của bạn nằm ngoài phạm vi nhà máy.
Out of range,超出范围,Nằm ngoài phạm vi
Attachment Type,附件类型,Loại tệp đính kèm
Dismiss,忽略,Bỏ qua
Save,保存,Lưu
N/A,不适用,N/A
Sample Size Detail List ({}),样本量详细列表（{}）,Danh sách chi tiết kích cỡ mẫu ({})
Carton No.,装箱编号,Mã số thùng
Manual Enter Carton No.,手动输入装箱编号,Nhập mã số thùng thủ công
Qty Per Carton,每箱数量,Số lượng mỗi thùng
No. of Carton,装箱数量,Số thùng
Delivered Qty,交货数量,Số lượng giao hàng
Insp. Carton Qty,抽检装箱数量,Số lượng thùng kiểm tra
Insp. Carton,抽检装箱,Thùng kiểm tra
Calculated Insp. Qty,计算抽检数量,Số lượng kiểm tra tính toán
Actual Insp. Qty,实际抽检数量,Số lượng kiểm tra thực tế
Actual Sample Size,实际样本大小,Kích thước mẫu thực tế
Sort Out Qty,分拣数量,Số lượng phân loại
Released Qty,放行数量,Số lượng phát hành
Color/Size,颜色/尺码,Màu sắc/Kích thước
Color,颜色,Màu sắc
Select Color/Size,选择颜色/尺码,Chọn màu sắc/Kích thước
Select Color,选择颜色,Chọn màu sắc
Select Size,选择尺码,Chọn Kích thước
Expand All,展开全部,Mở rộng tất cả
Collapse All,折叠全部,Thu gọn tất cả
Total,总计,Tổng cộng
Auditor,审核员,Kiểm toán viên
Auditor Name,审核员姓名,Tên Kiểm toán viên
Edit Item,编辑产品,Chỉnh sửa mặt hàng
Last Modified Date: {},最后修改日期：{},Ngày sửa đổi lần cuối: {}
Cartons,纸箱,Thùng carton
Select Carton,选择装箱,Chọn thùng
Total Cartons,装箱总数,Tổng số thùng
Fault Type,缺陷类型,Loại lỗi
Select Fault Type,选择缺陷类型,Chọn loại lỗi
Status,状态,Trạng thái
Select Fault Status,选择缺陷状态,Chọn Trạng thái Lỗi
Qty,数量,Số lượng
All,全部,Tất cả
({} selected),（已选择 {}）,({} đã chọn)
Filtering,筛选中,Lọc
Filter by,筛选条件,Lọc theo
Sort by,排序方式,Sắp xếp theo
Ascending,升序,Tăng dần
Descending,降序,Giảm dần
All Color,所有颜色,Tất cả Màu sắc
No Color,无颜色,Không màu sắc
Carton Summary,装箱总结,Tóm tắt thùng carton
Qty of Defects,缺陷数量,Số lượng lỗi
Total no. Defects,缺陷总数,Tổng số lỗi
Scoring Summary,评分总结,Tóm tắt điểm số
Overall Summary,总体总结,Tóm tắt chung
Packaging Measurement,包装测量,Kích thước bao bì
Packing,包装,Đóng gói
Country,国家,Quốc gia
Description,描述,Mô tả
Packaging Type,包装类型,Loại bao bì
Maximum Allowed (%),最大允许（%）,Tỷ lệ tối đa cho phép (%)
Maximum Allowed (No.) ,最大允许（数量）,Số lượng tối đa cho phép (Số lượng)
Bypass,跳过,Bỏ qua
Factory Representative,工厂代表,Đại diện nhà máy
Factory Representative Name,工厂代表姓名,Tên đại diện nhà máy
Factory Representative Title,工厂代表职位,Chức danh đại diện nhà máy
"Please note that in order to develop and strengthen a healthy business relationship with our business partners, we have an internal policy, which prohibits our employees from accepting advantages including gifts or favours of any kind from our business partners. We therefore would like to request you to please refrain from offering any gifts or favours to our employees during their upcoming visit to your factory. Your continuing co-operation and support are the most valuable gifts of all. Thank you for your cooperation.è«‹æ³¨æ„ï¼Œç‚ºäº†èˆ‡æˆ‘å€‘çš„æ¥­å‹™å¤¥ä¼´ç™¼å±•å’ŒåŠ å¼·å¥åº·çš„æ¥­å‹™é—œä¿‚ï¼Œæˆ‘å€‘åˆ¶å®šäº†ä¸€é …å…§éƒ¨æ”¿ç­–ï¼Œè©²æ”¿ç­–ç¦æ­¢æˆ‘å€‘çš„å“¡å·¥æŽ¥å—åˆ©ç›Š,åŒ…æ‹¬ä¾†è‡ªæˆ‘å€‘æ¥­å‹™å¤¥ä¼´çš„ç¦®ç‰©æˆ–å¥½è™•ã€‚å› æ­¤ï¼Œæˆ‘å€‘å¸Œæœ›æ‚¨ä¸è¦åœ¨æˆ‘å€‘çš„å“¡å·¥è¨ªå•æ‚¨çš„å·¥å» æœŸé–“å‘ä»–å€‘æä¾›ä»»ä½•ç¤¼ç‰©æˆ–åˆ©ç›Šã€‚æ‚¨çš„æŒçºŒåˆä½œèˆ‡æ”¯æŒæ˜¯æœ€æœ‰åƒ¹å€¼çš„ç¦®ç‰©ã€‚è¬è¬æ‚¨çš„åˆä½œã€‚",请注意：为了与我们的合作伙伴发展和加强健康的业务关系，我司制定了相关内部政策，明确禁止员工接受来自合作伙伴任何形式的馈赠或好处。 因此，敬请您在我司员工即将到访贵司工厂期间，避免向他们提供任何礼品或利益。 您的持续合作与支持是最有价值的礼物。 感谢您的合作。,"Xin lưu ý rằng để phát triển và củng cố mối quan hệ kinh doanh lành mạnh với các đối tác kinh doanh, chúng tôi có chính sách nội bộ nghiêm cấm nhân viên nhận bất kỳ lợi ích nào, bao gồm quà tặng hoặc ưu đãi dưới bất kỳ hình thức nào từ các đối tác kinh doanh. Do đó, chúng tôi đề nghị quý vị vui lòng không tặng quà hoặc ưu đãi cho nhân viên của chúng tôi trong chuyến thăm sắp tới của họ đến nhà máy của quý vị. Sự hợp tác và hỗ trợ liên tục của quý vị là món quà quý giá nhất. Xin chân thành cảm ơn sự hợp tác của quý vị.n.è«‹æ³¨æ„ï¼Œç‚ºäº†èˆ‡æˆ‘å€‘çš„æ¥­å‹™å¤¥ä¼´ç™¼å±•å’ŒåŠ å¼·å¥åº·çš„æ¥­å‹™é—œä¿‚ï¼Œæˆ‘å€‘åˆ¶å®šäº†ä¸€é …å…§éƒ¨æ”¿ç­–ï¼Œè©²æ”¿ç­–ç¦æ­¢æˆ‘å€‘çš„å“¡å·¥æŽ¥å—åˆ©ç›Š,åŒ…æ‹¬ä¾†è‡ªæˆ‘å€‘æ¥­å‹™å¤¥ä¼´çš„ç¦®ç‰©æˆ–å¥½è™•ã€‚å› æ­¤ï¼Œæˆ‘å€‘å¸Œæœ›æ‚¨ä¸è¦åœ¨æˆ‘å€‘çš„å“¡å·¥è¨ªå•æ‚¨çš„å·¥å» æœŸé–“å‘ä»–å€‘æä¾›ä»»ä½•ç¤¼ç‰©æˆ–åˆ©ç›Šã€‚æ‚¨çš„æŒçºŒåˆä½œèˆ‡æ”¯æŒæ˜¯æœ€æœ‰åƒ¹å€¼çš„ç¦®ç‰©ã€‚è¬è¬æ‚¨çš„åˆä½œã€‚"
No.,编号,STT
Position,位置,Vị trí
Select Position,选择位置 ,Chọn vị trí
Style & Size,款式与尺码,Kiểu dáng & Kích thước
Select Style & Size,选择款式与尺码,Chọn Kiểu dáng & Kích thước
Select LSV,选择款式型号,Chọn LSV
EAN,产品条形码,EAN
Actual,实际,Thực tế
Result,结果,Kết quả
Select Result,选择结果,Chọn kết quả
EAN Code,EAN 码,Mã EAN
Production Status,生产状态,Trạng thái sản xuất
EAN Summary,EAN 总结,Tóm tắt EAN
Pass,通过,Đạt
Fail,失败,Không đạt
Total,总计,Tổng cộng
Lidl,Lidl,Lidl
KL,KL,KL
Measurement result breakdown,测量结果分析,Phân tích kết quả đo
Measurement Defects Breakdown,测量缺陷分析,Phân tích lỗi đo
Special Sample Size (Level S-4),特殊样本大小（S-4 级别）,Kích thước mẫu đặc biệt (Cấp S-4)
to,至,đến
Borderline,边界线,Đường ranh giới
Style,款式,Kiểu
Defect Rate(%),缺陷率（%）,Tỷ lệ lỗi (%)
Overall,总体,Tổng thể
Point of Measurements,测量点,Điểm đo
Save,保存,Lưu
Code,代码,Mã
Point of Measurements,测量点,Điểm đo
Std. Meas.,标准测量值,Số đo tiêu chuẩn
Tolerance (+),公差（+）,Dung sai (+)
Tolerance (-),公差（-）,Dung sai (-)
Scan barcode,扫描条码,Quét mã vạch
Scan code,扫描代码,Quét mã
Code Scanned,代码已扫描,Mã đã quét
Carton Production Quantity,装箱生产数量,Số lượng sản xuất thùng carton
Carton Sample Size,装箱样本大小,Kích thước mẫu thùng carton
Packing Production Quantity,包装生产数量,Số lượng sản xuất bao bì
Packing Sample Size,包装样本大小,Kích thước mẫu bao bì
Unsaved Changes,未保存更改,Thay đổi chưa lưu
Unsaved changes will be discarded.,未保存的更改将被丢弃。,Những thay đổi chưa lưu sẽ bị hủy.
{} Result,{} 结果,{} Kết quả
{} Comments,{} 备注,{} Bình luận
EAN Code Result,EAN 码结果,Kết quả mã EAN
EAN Code Comments,EAN 码备注,Bình luận mã EAN
Reject,拒收,Từ chối
Rejected,拒收,Từ chối
"System can't determine the result by the defective quantity you inputted. It is suggested to change the AQL to Normal AQL, and the new Sample Size will be {}.

Would you like to change the AQL from Reduced to Normal?",系统无法根据您所输入的缺陷数量确定结果。建议将AQL（质量抽样标准） 修改为正常AQL（正常检验水平），新的样本大小为 {}。是否将 AQL 从减量抽样改为正常抽样？,"Hệ thống không thể xác định kết quả dựa trên số lượng lỗi bạn đã nhập. Đề xuất thay đổi AQL thành AQL Bình thường, và Kích thước Mẫu mới sẽ là {}.



Bạn có muốn thay đổi AQL từ Giảm sang Bình thường không?"
Defect result is inconclusive,缺陷结果不确定,Kết quả lỗi không rõ ràng
Change Now,立即更改,Thay đổi ngay
Pendulum,摇摆抽样,Chế độ kiểm tra dao động (Pendulum) 
AQL Pendulum changed to Normal. Sample size and Accept (Reject) No. has changed. New sample size is {}.,AQL 已调整为正常水平。样本大小及可接受（拒收）数量已更新。新的样本大小为 {}。,Chế độ AQL chuyển từ Dao động (Pendulum) sang Bình thường (Normal). Kích thước mẫu và số lượng Chấp nhận (Từ chối) đã thay đổi. Kích thước mẫu mới là {}.
Zero Tole,零公差,Không dung sai (không chấp nhận lỗi)
Customer PO No.,客户订单号,Mã đơn hàng của khách hàng
Auto Sync,自动同步,Tự động đồng bộ
Local Version,本地版本,Phiên bản cục bộ
Cloud Version,云端版本,Phiên bản đám mây
Select All,全选,Chọn tất cả
Last edited by {} â€¢ {},最后编辑人：{} • {},Chỉnh sửa lần cuối bởi {} • {}
Confirm Sync?,确认同步？,Xác nhận Đồng bộ hóa?
Selected result will overwrite the cloud saved.,所选结果将覆盖云端保存数据。,Kết quả đã chọn sẽ ghi đè lên dữ liệu đã lưu trên đám mây.
Conflict(s) detected!,检测到冲突！,Đã phát hiện xung đột!
The local version and cloud version of report doesnâ€™t match. Please review the conflict(s) before continuing.,本地版本与云端版本不一致，请在继续前检查冲突内容。,Phiên bản cục bộ và phiên bản đám mây của báo cáo không khớp nhau. Vui lòng xem lại xung đột trước khi tiếp tục.
Conflict pending resolve,冲突待解决,Xung đột đang chờ giải quyết
Conflict While Syncing,同步时存在冲突,Xung đột trong khi Đồng bộ hóa
Conflicts detected in the report during reconnection. Review now to resolve them or ignore to work in offline mode and review later.,报告在重新连接时检测到冲突。请立即检查解决，或忽略并在离线模式下稍后处理。,Đã phát hiện xung đột trong báo cáo khi kết nối lại. Xem lại ngay để giải quyết hoặc bỏ qua để làm việc ở chế độ ngoại tuyến và xem lại sau.
{} Editor,{} 编辑者,{} Biên tập viên
Review Conflict,查看冲突,Đánh giá xung đột
No data,无数据,Không có dữ liệu
Last edited by {} on {},最后编辑人：{} 于 {},Chỉnh sửa lần cuối bởi {} vào {}
Confirm All Local,确认全部本地,Xác nhận tất cả dữ liệu cục bộ
Are you sure you want to select all {} values in local and sync?,您确定要选择所有本地 {} 项并进行同步吗？,Bạn có chắc chắn muốn chọn tất cả {} giá trị trong bộ nhớ cục bộ và tiến hành đồng bộ không?
Confirm All Cloud,确认全部云端版本,Xác nhận tất cả dữ liệu trên đám mây
Are you sure you want to select all {} values in cloud and sync?,您确定要选择所有云端 {} 项并进行同步吗？,Bạn có chắc chắn muốn chọn tất cả {} giá trị trên đám mây và tiến hành đồng bộ không?
Confirm Changes,确认更改,Xác nhận thay đổi
Do you confirm to sync with the selected values? This action cannot be undone.,是否确认按所选值进行同步？此操作不可撤销。,Bạn có xác nhận đồng bộ hóa với các giá trị đã chọn không? Hành động này không thể hoàn tác.
Confirm & Sync,确认并同步,Xác nhận & Đồng bộ
Standard : {},标准：{},Tiêu chuẩn: {}
Tolerance : {},公差：{},Dung sai: {}
Load fail...,加载失败……,Tải không thành công...
Review,审核,Xem lại
Ignore,忽略,Bỏ qua
Grid View,网格视图,Chế độ xem dạng lưới
No File yet,暂无文件,Chưa có tệp nào
New Folder,新建文件夹,Thư mục mới
Photo,照片,Ảnh
Video,视频,Video
Audio,音频,Âm thanh
Media Library,媒体库,Thư viện phương tiện
Document,文档,Tài liệu
URL,网址,URL
Edit,编辑,Chỉnh sửa
Done,完成,Xong
Stop to Save Recording,停止保存录音,Dừng để lưu bản ghi
Press to Record Audio,按下录制音频,Nhấn để ghi âm
Select,选择,Chọn
Cancel,取消,Hủy
Confirm Delete,确认删除,Xác nhận xóa
Attachment will be deleted and this cannot be undone.,附件将被删除，且此操作不可撤销。,Tệp đính kèm sẽ bị xóa và không thể hoàn tác.
Delete,删除,Xóa
Audit Party,审核方,Bên kiểm tra
Reference Data,参考数据,Dữ liệu tham chiếu
Last Synced,上次同步时间,Đồng bộ lần cuối
Add URL,添加网址,Thêm URL
Add,添加,Thêm
Show Column,显示列,Hiển thị cột
Show,显示,Hiển thị
All Result,所有结果,Tất cả kết quả
Comments,备注,Nhận xét
All conflicts have been resolved. Please click 'Sync' to proceed.,所有冲突已解决，请点击“同步”继续。,Tất cả xung đột đã được giải quyết. Vui lòng nhấp vào 'Đồng bộ' để tiếp tục.
Click here to open file,点击此处打开文件,Nhấp vào đây để mở tệp
Click here to open link in browser,点击此处在浏览器中打开链接,Nhấp vào đây để mở liên kết trong trình duyệt
Attachment Details,附件详情,Chi tiết tệp đính kèm
Maximum file size exceeded,文件大小超出限制,Đã vượt quá kích thước tệp tối đa
"The file size is {} 
The default size is {}",文件大小为 {} 默认大小为 {},"Kích thước tệp là {}

Kích thước mặc định là {}"
Item Code,产品代码,Mã mặt hàng
Mandatory fields are missing,缺少必填字段,Thiếu các trường bắt buộc
AQL,AQL（质量抽样标准） ,AQL
Last Modified on,最后修改时间,Ngày sửa đổi lần cuối
Report List,报告列表,Danh sách báo cáo
Item List,产品列表,Danh sách mặt hàng
Items,产品,Mặt hàng
Inspection Type,检查类型,Loại kiểm tra
Template Type,模板类型,Loại mẫu
Inspector(s),检查员,Người kiểm tra
Advance Editor,高级编辑器,Trình chỉnh sửa nâng cao
No Report Yet,暂无报告,Chưa có báo cáo
Home,主页,Trang chủ
Info Tag,信息标签,Thẻ thông tin
Add Tag,添加标签,Thêm thẻ
Unit of Measure,计量单位,Đơn vị tính
Tol Unit,公差单位,Đơn vị dung sai
Options,选项,Tùy chọn
All {},所有 {},Tất cả {}
No {},无 {},Không {}
-None-,-无-,-Không có-
None,无,Không có
...More,……更多,...Thêm
Duplicate,重复,Trùng lặp
"Duplicate Code is found in POM, please remove the duplicate one and try again.",在测量点（POM）中发现重复代码，请删除重复项后重试。,"Tìm thấy mã trùng lặp trong POM, vui lòng xóa mã trùng lặp và thử lại."
Delete POM,删除 POM,Xóa POM
You just deleted all POMs for the measurement type. You will not be able to see this measurement type if once confirmed.,您刚刚删除了该测量类型的所有测量点。一旦确认，您将无法再查看此测量类型。,Bạn vừa xóa tất cả POM cho loại đo lường. Bạn sẽ không thể thấy loại đo lường này nếu đã xác nhận.
Please fill in the Code and try again.,请填写代码后重试。,Vui lòng điền Mã và thử lại.
Split,拆分,Tách rời
A potential need for Split Inspection,可能需要拆分检验,Có thể cần Kiểm tra Tách rời
"For the item was spin off, the item will be sorted out completely.",该产品将被完全剔除。,"Đối với mặt hàng đã tách rời, mặt hàng sẽ được phân loại hoàn toàn."
Item,产品,Mặt hàng
Color/Size,颜色/尺码,Màu sắc/Kích thước
Delivered Qty,交货数量,Số lượng giao hàng
No. of Defect,缺陷数量,Số lỗi
Final Inspection,最终检验,Kiểm tra cuối cùng
Your account does not have the Inspectors or Auditors role assigned.,您的账号未分配“检查员”或“审核员”角色。,Tài khoản của bạn chưa được chỉ định vai trò Thanh tra hoặc Kiểm toán viên.
Inspection Date,检验日期,Ngày kiểm tra
Audit Date,审核日期,Ngày kiểm toán
Past & Next 7 Days,过去及未来 7 天,7 ngày trước và tiếp theo
Past & Next 30 Days,过去及未来 30 天,30 ngày trước và tiếp theo
Select Specific Range,选择特定范围,Chọn phạm vi cụ thể
Factory,工厂,Nhà máy
Total Order Quantity,订单总数量,Tổng số lượng đặt hàng
Total Actual Quantity,实际总数量,Tổng số lượng thực tế
Quantity Difference,数量差异,Chênh lệch số lượng
Critical,严重,Nghiêm trọng
Major,主要,Lớn
Minor,次要,Nhỏ
Header,标题,Tiêu đề
Items/SKUs,产品/SKU,Mặt hàng/SKU
Reports,报告,Báo cáo
No Report,暂无报告,Không có báo cáo
Item Table,产品表,Bảng mặt hàng
Inspector Signature,检查员签名,Chữ ký Thanh tra
Auditor Signature,审核员签名,Chữ ký Kiểm toán viên
Factory Rep Signature,工厂代表签名,Chữ ký Đại diện Nhà máy
Signature,签名,Chữ ký
Click here to Sign,点击此处签名,Nhấp vào đây để ký
"Complete above mandatory
       field before signing",请先完成以上必填项，然后再签名,"Hoàn thành trường bắt buộc ở trên

trước khi ký"
Are you sure you want to discard your changes? Any unsaved changes will be lost.,您确定要放弃更改吗？任何未保存的更改将丢失。,Bạn có chắc chắn muốn hủy bỏ các thay đổi của mình không? Mọi thay đổi chưa lưu sẽ bị mất.
Discard Changes,放弃更改,Hủy bỏ các thay đổi
Discard,放弃,Hủy bỏ
Abort Inspection,中止检验,Hủy bỏ Kiểm tra
Abort Reason,中止原因,Lý do Hủy bỏ
Report successfully submitted.,报告已成功提交。,Báo cáo đã gửi thành công.
Report initialization Failed :{},报告初始化失败：{},Khởi tạo báo cáo không thành công:{}
Select,选择,Chọn
Included Item(s),包含产品,Các mặt hàng bao gồm
% Adjust Quality Plan Weighting,调整质量计划权重 %,% Điều chỉnh Trọng số Kế hoạch Chất lượng
Scoring Weighting,评分权重,Trọng số Điểm
{}% Exceeds,{}% 超出,{}% Vượt quá
