English,Chinese,Vietnamese
GPS Coordinate Lat,GPS坐标纬度,Vĩ độ GPS
GPS Coordinate Lng,GPS坐标经度,Kinh độ GPS
GPS coordinate Lat,GPS坐标纬度,Vĩ độ GPS
GPS coordinate Lng,GPS坐标经度,Kinh độ GPS
General,常规,Tổng quan
Hierarchy,层级,Phân cấp
"If the Inspection Report Template is updated, the Sampling Rule, Test Items and Requirements would be changed. Are you sure you want to continue?",如果更新检验报告模板，抽样规则、测试项目和要求将被更改。您确定要继续吗？,"Nếu cập nhật Mẫu báo cáo, các thiết lập về Quy tắc lấy mẫu, Mục kiểm tra và Yêu cầu sẽ thay đổi. Bạn có chắc chắn muốn tiếp tục?"
Image Type Lookup,图片类型查找,Tra cứu loại hình ảnh
Images,图片,Hình ảnh
Images/Attachments,图片/附件,Hình ảnh/Tệp đính kèm
In Review,审核中,Đang xem xét
Inactive,未启用,Không hoạt động
Initialize CPM,初始化CPM,Khởi tạo CPM
Initiated,已启动,Đã khởi tạo
Inner GTIN,内部GTIN,GTIN bên trong
Inspected Assortment Quantity,已检验分类数量,Số lượng phân loại đã kiểm tra
Inspected Carton,已检验纸箱,Thùng carton đã kiểm tra
Inspected Carton Quantity,已检验纸箱数量,Số lượng thùng carton đã kiểm tra
Inspection Booking,检验预订,Đặt lịch kiểm tra
Inspection Booking Address Lookup by Factory,按工厂查找检验预订地址,Tra cứu địa chỉ đặt lịch kiểm tra theo nhà máy
Inspection Booking No,检验预订编号,Mã đặt lịch kiểm tra
Inspection Booking Parties Lookup,检验预订方查找,Tra cứu thông tin các bên đặt lịch kiểm tra
Inspection Comments,检验注释,Nhận xét kiểm tra
Inspection Details,检验详情,Chi tiết kiểm tra
Inspection Level,检验级别,Cấp độ kiểm tra
Inspection Method,检验方法,Phương pháp kiểm tra
Inspection Procedure,检验程序,Quy trình kiểm tra
Inspection Report Address Lookup by Factory,按工厂查找检验报告地址,Tra cứu địa chỉ báo cáo kiểm tra theo nhà máy
Inspection Report No.,检验报告编号,Mã báo cáo kiểm tra
Inspection Report Template Lookup,检验报告模板查找,Tra cứu mẫu báo cáo kiểm tra
Inspection Report Templete Lookup,检验报告模板查找,Tra cứu mẫu báo cáo kiểm tra
Inspection Result,检验结果,Kết quả kiểm tra
Inspection Result per Color/Size,每个颜色/尺寸的检验结果,Kết quả kiểm tra theo màu sắc/kích thước
Inspection Summary,检验摘要,Tổng hợp kết quả kiểm tra
Inspection Template,检验模板,Mẫu kiểm tra
Inspection Template Lookup,检验模板查找,Tra cứu mẫu kiểm tra
Inspection Template Name,检验模板名称,Tên mẫu kiểm tra
Inspection Templete Lookup,检验模板查找,Tra cứu mẫu kiểm tra
Inspector Disclaimer,检验员免责声明,Miễn trừ trách nhiệm (Thanh tra)
Inspector Disclaimer Acceptance,检验员免责声明接受,Chấp nhận miễn trừ
Inspector Sign Date,检验员签署日期,Ngày ký (Thanh tra)
Item Color Lookup,项目颜色查找,Tra cứu màu sắc sản phẩm
Item Details,项目详情,Chi tiết sản phẩm
Item Size Lookup,项目尺寸查找,Tra cứu kích thước sản phẩm
Item Tags,项目标签,Thẻ sản phẩm
Item Type,项目类型,Loại sản phẩm
Items By Color/Size,按颜色/尺寸分类的项目,Sản phẩm theo màu sắc/kích cỡ
Items by Color/Size,按颜色/尺寸分类的项目,Sản phẩm theo màu sắc/kích cỡ
Last Modified by,最后修改者,Sửa đổi lần cuối bởi
Latest CAPA,最新CAPA,CAPA mới nhất
Legend,图例,Chú giải
Link by,关联,Liên kết bởi
Linkage Type,关联类型,Loại liên kết
Linkage to Inspection,关联到检验,Liên kết với Kiểm tra
Linked Documents,关联文件,Tài liệu liên kết
Lot No.,批号,Mã lô
Mandatory,必填,Bắt buộc
Mandatory field(s) is missing for marking the Inspection Booking(s) to scheduled.,标记检验预订为已排期时缺少必填字段。,"Vui lòng nhập các trường bắt buộc để chuyển trạng thái Đặt lịch sang ""Đã lên lịch""."
Mark as,标记为,Đánh dấu là
Max. Score (Total),最高分数（总计）,Điểm tối đa (Tổng điểm)
Maximum Score,最高分数,Điểm tối đa
Meas.,测量,Số đo
Meas. AQL (Critical),测量AQL（严重）,AQL đo (Nghiêm trọng)
Meas. AQL (Major),测量AQL（主要）,AQL đo (Lớn)
Meas. AQL (Minor),测量AQL（次要）,AQL đo (Nhỏ)
Meas. Actual Sample Size,测量实际样本大小,Cỡ mẫu đo thực tế
Meas. Calculated Sample Size,测量计算样本大小,Cỡ mẫu đo dự tính
Meas. Critical (Acceptable Defects),测量严重（可接受缺陷）,Lỗi đo nghiêm trọng (Cho phép)
Meas. Critical (Actual Defects),测量严重（实际缺陷）,Lỗi đo nghiêm trọng (Thực tế)
Meas. Critical (Calculated Defects),测量严重（计算缺陷）,Lỗi đo nghiêm trọng (Dự tính)
Meas. Inspection Level,测量检验级别,Cấp độ kiểm tra đo
Meas. Major (Acceptable Defects),测量主要（可接受缺陷）,Lỗi đo lớn (Cho phép)
Meas. Major (Actual Defects),测量主要（实际缺陷）,Lỗi đo lớn (Thực tế)
Meas. Major (Calculated Defects),测量主要（计算缺陷）,Lỗi đo lớn (Dự tính)
Meas. Minor (Acceptable Defects),测量次要（可接受缺陷）,Lỗi đo nhỏ (Cho phép)
Meas. Minor (Actual Defects),测量次要（实际缺陷）,Lỗi đo nhỏ (Thực tế)
Meas. Minor (Calculated Defects),测量次要（计算缺陷）,Lỗi đo nhỏ (Dự tính)
Measurement Result by Size by Color,按尺寸按颜色分类的测量结果,Kết quả đo theo kích thước và màu sắc
Measurement by Size by Color,按尺寸按颜色分类的测量,Đo theo kích thước và màu sắc
Measurements,测量,Số đo
Mixed,混合,Hỗn hợp
Mobile Activities,移动活动,Hoạt động di động
Mobile App Settings,移动应用程序设置,Cài đặt ứng dụng
Mobile Inspector App Settings,移动检验员应用程序设置,Cài đặt ứng dụng Mobile Inspector
More,更多,Xem thêm
Multi-Pack,多包装,Đóng gói hỗn hợp
Name of Partner Representative,合作伙伴代表姓名,Tên người đại diện đối tác
New Audit,新建审核,Kiểm toán mới
New Audit Template,新建审核模板,Mẫu kiểm toán mới
New CAPA Plan,新建CAPA计划,Kế hoạch CAPA mới
New Capa Plan,新建Capa计划,Kế hoạch Capa mới
New Corrective Action Plans,新建纠正措施计划,Kế hoạch khắc phục mới
New Inspect Report,新建检验报告,Báo cáo kiểm tra mới
New Inspection Booking,新建检验预订,Đặt lịch kiểm tra mới
New Inspection Report,新建检验报告,Báo cáo kiểm tra mới
New Line,新行,Dòng mới
New Quality Plan Template,新建质量计划模板,Mẫu kế hoạch chất lượng mới
No access right to mark the Inspection Booking to %1$s.,无权限将检验预订标记为%1$s。,Không có quyền đánh dấu đặt lịch là %1$s
No access right to remove the Workflow status from the Inspection Booking.,无权限从检验预订中删除工作流状态。,Không có quyền xóa trạng thái quy trình
No access right to update the Inspection Booking as it''s marked as %1$s.,无权限更新检验预订，因为它已标记为%1$s。,Không có quyền cập nhật lịch đã đánh dấu %1$s
No access right to update the Inspection Booking.,无权限更新检验预订。,Không có quyền cập nhật lịch kiểm tra
No. of Attachments,附件数量,Số tệp đính kèm
No. of Cartons,纸箱数量,Số thùng carton
Not Available,不可用,Không khả dụng
Not Packed Qty,未包装数量,Số lượng chưa đóng gói
Notes,备注,Ghi chú
Notes / Instructions,备注/说明,Ghi chú / Hướng dẫn
Number of Not Packed Cartons,未包装纸箱数量,Số thùng chưa đóng gói
Number of Packed Cartons,已包装纸箱数量,Số thùng đã đóng gói
Object,对象,Đối tượng
Observations / Comments,观察/注释,Nhận xét/Bình luận
Official,正式,Chính thức
"Only one VPO Shipment Item could be included into one ""By Item"" Inspection Report.",一个“按项目”检验报告只能包含一个VPO装运项目。,"Chỉ có thể bao gồm một mặt hàng trong lô hàng VPO vào một báo cáo kiểm tra ""Theo mặt hàng""."
"Only sample measurement with size detail could be updated into the Measurement Result table, please enter the size.",只有带尺寸详情的样本测量才能更新到测量结果表，请输入尺寸。,"Chỉ có kết quả đo mẫu kèm chi tiết kích thước mới được cập nhật vào bảng Kết quả đo, vui lòng nhập kích thước."
Order Carton Quantity per Color/Size,每个颜色/尺寸的订单纸箱数量,Số thùng đặt hàng (Màu/Size)
Order Quantity per Color/Size,每个颜色/尺寸的订单数量,Số lượng đặt hàng (Màu/Size)
Other,其他,Khác
Other Attachments & Comments,其他附件和注释,Các tệp đính kèm và bình luận khác
Others,其他,Khác
Others Table,其他表格,Bảng Khác
Outer GTIN,外部GTIN,GTIN bên ngoài
Overall Defect Rate,整体缺陷率,Tỷ lệ lỗi tổng thể
Overall Disposition,整体处置,Quyết định tổng thể
Packed Qty,已包装数量,Số lượng đóng gói
Packed Qty in Carton,纸箱中已包装数量,Số lượng đóng gói trong thùng
Packing Defect Summary,包装缺陷摘要,Tóm tắt lỗi đóng gói
Packing Defects,包装缺陷,Lỗi đóng gói
Packing Details,包装详情,Chi tiết đóng gói
Packing Name,包装名称,Tên đóng gói
Packing Summary,包装摘要,Tóm tắt đóng gói
Packing Type,包装类型,Loại đóng gói
Parent Type,父类型,Cấp cha
Parties,各方,Các bên
Partner Disclaimer,合作伙伴免责声明,Miễn trừ trách nhiệm (Đối tác)
Partner Disclaimer Acceptance,合作伙伴免责声明接受,Chấp nhận Miễn trừ trách nhiệm (Đối tác)
Partner ID,合作伙伴ID,ID đối tác
Partner Information,合作伙伴信息,Thông tin đối tác
Partner Signature,合作伙伴签名,Chữ ký của đối tác
Partner Signed Location,合作伙伴签署地点,Địa điểm ký (Đối tác)
Partner Signed On,合作伙伴签署日期,Ngày ký (Đối tác)
Partner Type,合作伙伴类型,Loại đối tác
Pending Approval,待批准,Đang chờ phê duyệt
Planned Inspection Date,计划检验日期,Ngày kiểm tra dự kiến
Planned Inspection Date must be two days after the current date.,计划检验日期必须是当前日期之后的两天。,Ngày kiểm tra dự kiến ​​phải cách ngày hiện tại hai ngày.
Planned Inspection Dates,计划检验日期,Ngày dự kiến ​​kiểm tra
Planned Inspection End Date,计划检验结束日期,Ngày kết thúc dự kiến
Planned Inspection Start Date,计划检验开始日期,Ngày bắt đầu dự kiến
Please select at least one field to batch update.,请至少选择一个字段进行批量更新。,Vui lòng chọn ít nhất một trường để cập nhật hàng loạt.
Please select at least one record to batch update.,请至少选择一条记录进行批量更新。,Vui lòng chọn ít nhất một bản ghi để cập nhật hàng loạt.
Please select the Size and Color first.,请先选择尺寸和颜色。,Vui lòng chọn Kích thước và Màu sắc trước.
Print,打印,In
Priority,优先级,Ưu tiên
Produced Qty,生产数量,Số lượng sản xuất
Product Hierarchy,产品层级,Phân cấp sản phẩm
Production Ratio (%),生产比率（%）,Tỷ lệ sản xuất (%)
Quality Plan / Section,质量计划/部分,Kế hoạch chất lượng / Phần
Quality Plan Defect Details,质量计划缺陷详情,Chi tiết lỗi trong kế hoạch chất lượng
Quality Plan Sections,质量计划部分,Các phần của Kế hoạch Chất lượng
Quality Plan Template,质量计划模板,Mẫu kế hoạch chất lượng
Quality Plans,质量计划,Kế hoạch chất lượng
Quantity,数量,Số lượng
Quantity Per Carton,每纸箱数量,Số lượng mỗi thùng
Quantity by Size (Color),按尺寸（颜色）的数量,Số lượng theo kích cỡ (màu sắc)
Ref.,参考,Tham chiếu
Ref.Key,参考关键字,Khóa tham chiếu
Refresh,刷新,Làm mới
Refresh from Latest Item,从最新项目刷新,Làm mới từ mục mới nhất
Rejection Defects,拒收缺陷,Lỗi từ chối
Related Activities,相关活动,Hoạt động liên quan
Released Quantity,放行数量,Số lượng đã phát hành
Remark,备注,Nhận xét
Report Card Details,报告卡详情,Chi tiết bảng điểm
Report Information,报告信息,Thông tin báo cáo
Requested,已请求,Đã yêu cầu
Require CAPA,需要CAPA,Yêu cầu CAPA
Require Signature,需要签名,Yêu cầu chữ ký
Requirement,要求,Yêu cầu
Requirements - 2 Details,要求 - 2条详情,Yêu cầu - 2 Chi tiết
Requirements - 3 Details,要求 - 3条详情,Yêu cầu - 3 Chi tiết
Requirements - 4 Details,要求 - 4条详情,Yêu cầu - 4 Chi tiết
Requirements - 5 Details,要求 - 5条详情,Yêu cầu - 5 Chi tiết
Result Summary,结果摘要,Tổng hợp kết quả
Result Upon Short Qty,数量短缺时的结果,Kết quả khi thiếu hàng
Revising,修订中,Đang sửa đổi
Rework,返工,Làm lại
Risk Rating,风险评级,Đánh giá rủi ro
Rule name,规则名称,Tên quy tắc
SKU No.,SKU编号,Mã SKU
SKU Tags,SKU标签,Thẻ SKU
Sampling,抽样,Lấy mẫu
Sampling Method,抽样方法,Phương pháp lấy mẫu
Sampling Plan,抽样计划,Kế hoạch lấy mẫu
Sampling Rule,抽样规则,Quy tắc lấy mẫu
Sampling Rule for Defect Details,缺陷详情的抽样规则,Quy tắc lấy mẫu cho chi tiết lỗi
Sampling Rule for Measurement,测量的抽样规则,Quy tắc lấy mẫu đo
Sampling Rule: Allow Realtime Update,抽样规则：允许实时更新,Cập nhật thời gian thực (Lấy mẫu)
Save & Confirm,保存并确认,Lưu & Xác nhận
Scheduled,已排期,Đã lên lịch
Score (%),分数（%）,Điểm (%)
Scoring,评分,Chấm điểm
Scoring Details,评分详情,Chi tiết chấm điểm
Scorings,评分,Điểm số
Scorings Additional Information,评分附加信息,Thông tin bổ sung về điểm số
Scorings Details,评分详情,Chi tiết điểm số
Scorings Information,评分信息,Thông tin chấm điểm
Section Score Weight,部分分数权重,Trọng số điểm theo phần
Section Seq No.,部分序列号,Số thứ tự phần
Section Type,部分类型,Loại phần
Section/Descripton,部分/描述,Phần/Mô tả
Select Files...,选择文件...,Chọn tệp...
Select from Booking by Item...,从按项目分类的预订中选择...,Chọn theo mặt hàng (Đặt lịch)...
Select from Booking by Lot...,从按批次分类的预订中选择...,Chọn theo lô (Đặt lịch)...
Select from Item...,从项目中选择...,Chọn từ mục...
Select from Vendor PO...,从供应商采购订单中选择...,Chọn từ đơn PO Vendor...
Select...,选择...,Chọn...
Send to Buyer,发送给买家,Gửi cho người mua
Send to Vendor,发送给供应商,Gửi cho nhà cung cấp
Sequential Inspection,序贯检验,Kiểm tra tuần tự
Shared Files,共享文件,Tệp được chia sẻ
Shipment,装运,Lô hàng
Shipment Items from Vendor PO,来自供应商采购订单的装运项目,Mặt hàng từ đơn PO Vendor
Shipment Released Date,装运放行日期,Ngày xuất kho
Shipment Tags,装运标签,Thẻ vận chuyển
Short Description,简短描述,Mô tả ngắn
Short Qty Threshold (%),短缺数量阈值（%）,Ngưỡng số lượng thiếu (%)
Show Defect Rate,显示缺陷率,Hiển thị tỷ lệ lỗi
Show Final Validations in Conclusion,在结论中显示最终验证,Hiển thị xác thực cuối cùng
Show Shipped Quantity Check Table,显示装运数量检查表,Hiển thị bảng kiểm tra số lượng hàng đã giao
Show measurement breakdown,显示测量明细,Hiển thị chi tiết số đo
Sign Location,签署地点,Vị trí ký
Signature Info,签名信息,Thông tin chữ ký
Signed Auditor,已签署审核员,Kiểm toán viên đã ký
Signed Inspector,已签署检验员,Thanh tra viên đã ký
Sort Out Quantity,分拣数量,Số lượng phân loại
Sourcing Office / Agency,采购办事处/代理,Văn phòng/Đại lý tìm nguồn cung ứng
Specify if Item Template is Different,指明项目模板是否不同,Chỉ định nếu mẫu khác biệt
Standard Meas.,标准测量,Số đo tiêu chuẩn
State / Province,州/省,Tỉnh/Thành phố
Supplier Audit Address Lookup by Vendor,按供应商查找供应商审核地址,Tra cứu địa chỉ kiểm toán nhà cung cấp theo nhà cung cấp
Supplier Audit Lookup by Vendor,按供应商查找供应商审核,Tra cứu thông tin nhà cung cấp theo nhà cung cấp
Switch Size/Color...,切换尺寸/颜色...,Đổi Kích thước/Màu...
Tab,标签页,Thẻ
Template Lookup,模板查找,Tra cứu mẫu
Test Item Defects,测试项目缺陷,Lỗi mục thử nghiệm
Test Items,测试项目,Mục kiểm tra
Test Request,测试请求,Yêu cầu kiểm tra
"The Inspection Report Template for VPO Shipment Item will be removed if the Inspection Format is changed to ""By Lot"". Are you sure you want to continue?",如果检验格式更改为“按批次”，VPO装运项目的检验报告模板将被删除。您确定要继续吗？,"Mẫu báo cáo kiểm tra cho mặt hàng vận chuyển VPO sẽ bị xóa nếu định dạng kiểm tra được thay đổi thành ""Theo lô"". Bạn có chắc chắn muốn tiếp tục không?"
The document you updated is not an active document.,您更新的文件不是有效文件。,Tài liệu chưa được kích hoạt
The document you updated is not the latest version.,您更新的文件不是最新版本。,Không phải phiên bản mới nhất
The field you updated cannot be empty.,您更新的字段不能为空。,Trường không được để trống
"The measurement details entered will be removed after adding the new Shipment Item(s), are you sure you want to continue?",添加新装运项目后，输入的测量详情将被删除，您确定要继续吗？,"Thông tin kích thước đã nhập sẽ bị xóa sau khi thêm (các) mặt hàng vận chuyển mới, bạn có chắc chắn muốn tiếp tục không?"
"The number of documents you selected has exceeded the maximum, please reselect.",您选择的文件数量已超过最大值，请重新选择。,Số lượng tệp vượt quá giới hạn cho phép. Vui lòng chọn lại.
This record is available under the following condition(s).,此记录在以下条件下可用。,Bản ghi này được cung cấp theo (các) điều kiện sau.
To Score(<),结束分数（<）,Đến điểm số (<)
Tools,工具,Công cụ
Total Booking Quantity,预订总数,Tổng lượng đặt lịch
Total Cost,总成本,Tổng chi phí
Total Critical,严重总数,Tổng lỗi Nghiêm trọng
Total Defective Unit,缺陷单位总数,Tổng đơn vị lỗi
Total Failed Quantity,不合格总数,Tổng lượng không đạt
Total Inspected Packing,已检验包装总数,Tổng bao bì kiểm tra
Total Inspected Quantity,已检验总数,Tổng lượng kiểm tra
Total Major,主要总数,Tổng lỗi Lớn
Total Measured Quantity,已测量总数,Tổng lượng đo
Total Minor,次要总数,Tổng lỗi Nhỏ
Total Number of Defects,缺陷总数,Tổng số lỗi
Total PO Quantity,采购订单总数,Tổng số lượng PO
Total Packing,包装总数,Tổng đóng gói
Total Quantity,总数,Tổng số lượng
Total Released Quantity,放行总数,Tổng lượng xuất
Total Work Time,总工作时间,Tổng thời gian làm việc
Total Work Time(min),总工作时间（分钟）,Tổng thời gian làm việc (phút)
Town / City,镇/市,Thị trấn/Thành phố
Type ID,类型ID,ID loại
UPC,UPC,Mã UPC
Unfollow,取消关注,Hủy theo dõi
User Lookup,用户查找,Tra cứu người dùng
VPO Tags,VPO标签,Thẻ VPO
Vendor Comments,供应商注释,Nhận xét (Vendor)
Vendor ID,供应商ID,ID Vendor
Vendor Lookup,供应商查找,Tra cứu Vendor
Vendor Name,供应商名称,Tên Vendor
Vendor PO No.,供应商采购订单号,Số PO Vendor
Ver.,版本,Bản
View,查看,Xem
View CAPA,查看CAPA,Xem CAPA
Weighted Score (%),加权分数（%）,Điểm số có trọng số (%)
Weighting,权重,Trọng số
Where Used,使用位置,Nơi sử dụng
Work Time,工作时间,Thời gian làm việc
Work Time(seconds),工作时间（秒）,Thời gian làm việc (giây)
You have selected the same template in other requirement tab. Please select another one.,您在其他要求标签页中选择了相同的模板。请选择另一个。,Bạn đã chọn cùng một mẫu trong tab yêu cầu khác. Vui lòng chọn một mẫu khác.
ZT / Critical Issue,零容忍/严重问题,ZT / Vấn đề nghiêm trọng
[Add],[添加],[Thêm]
[Delete],[删除],[Xóa]
docStatus,文件状态,Trạng thái tài liệu
Actual Carton Sample Size,实际纸箱样本大小,Cỡ mẫu thùng thực tế
Add More Photo,添加更多照片,Thêm ảnh...
Add New User,添加新用户,Thêm người dùng
Manage {},管理{},Quản lý {}
Aggregated Defect Count,汇总缺陷数量,Tổng lỗi tổng hợp
Total Critical,严重总数,Tổng số lỗi Nghiêm trọng
Total Defective Unit,缺陷单位总数,Tổng số đơn vị bị lỗi
Total Major,主要总数,Tổng số lỗi Lớn
Total Minor,次要总数,Tổng số lỗi Nhỏ
All Report Version,所有报告版本,Mọi phiên bản báo cáo
All Bookings/Reports,所有预订/报告,Mọi Đặt lịch/Báo cáo
Booking Carton Quantity,预订纸箱数量,Lượng thùng đặt lịch
"Booking detail is not available, connect to network and try again.",预订详情不可用，请连接网络后重试。,Lỗi tải thông tin đặt lịch
Booking Quantity,预订数量,Lượng đặt lịch
Currently Editing,当前编辑中,Đang chỉnh sửa
Observation,观察,Ghi nhận
Clear All,清除全部,Xóa tất cả
{} Auditors,{}位审核员,{} Kiểm toán viên
{} Inspectors,{}位检验员,{} Thanh tra
{} Viewers,{}位查看者,{} Người xem
"Report detail is not available, connect to network and try again.",报告详情不可用，请连接网络后重试。,Lỗi tải chi tiết báo cáo
Disclaimer,免责声明,Miễn trừ trách nhiệm
"Please note that in order to develop and strengthen a healthy business relationship with our business partners, we have an internal policy, which prohibits our employees from accepting advantages including gifts or favours of any kind from our business partners. We therefore would like to request you to please refrain from offering any gifts or favours to our employees during their upcoming visit to your factory. Your continuing co-operation and support are the most valuable gifts of all. Thank you for your cooperation.請注意，為了與我們的業務夥伴發展和加強健康的業務關係，我們制定了一項內部政策，該政策禁止我們的員工接受利益,包括來自我們業務夥伴的禮物或好處。因此，我們希望您不要在我們的員工訪問您的工廠期間向他們提供任何礼物或利益。您的持續合作與支持是最有價值的禮物。謝謝您的合作。",请注意，为了与我们的业务伙伴发展和加强健康的业务关系，我们制定了一项内部政策，该政策禁止我们的员工接受利益，包括来自我们业务伙伴的礼物或好处。因此，我们希望您不要在我们的员工访问您的工厂期间向他们提供任何礼物或利益。您的持续合作与支持是最有价值的礼物。谢谢您的合作。,"Xin lưu ý rằng để phát triển và củng cố mối quan hệ kinh doanh lành mạnh với các đối tác, chúng tôi có chính sách nội bộ nghiêm cấm nhân viên nhận bất kỳ lợi ích nào, bao gồm quà tặng hoặc ưu đãi từ các đối tác kinh doanh. Do đó, chúng tôi kính mong quý công ty vui lòng không tặng bất kỳ quà tặng hoặc ưu đãi nào cho nhân viên của chúng tôi trong chuyến thăm nhà máy sắp tới của quý công ty. Sự hợp tác và hỗ trợ liên tục của quý công ty là món quà quý giá nhất. Xin cảm ơn sự hợp tác của quý công ty. 請注意，為了與我們的業務夥伴發展和加強健康的業務關係，我們制定了一項內部政策，該政策禁止我們的員工接受利益,包括來自我們業務夥伴的禮物或好處。因此，我們希望您不要在我們的員工訪問您的工廠期間向他們提供任何礼物或利益。您的持續合作與支持是最有價值的禮物。謝謝您的合作。"
Fast Inspection,快速检验,Kiểm tra nhanh
Getting Latest Content...,正在获取最新内容...,Đang tải nội dung...
Getting Latest Report Structure...,正在获取最新报告结构...,Đang tải cấu trúc báo cáo...
Inspection Details,检验详情,Chi tiết kiểm tra
Quality Plans,质量计划,Kế hoạch chất lượng
No internet. Check your connection and try again.,无网络连接。请检查您的连接后重试。,Lỗi kết nối internet
Enable the permission in the Settings to save photos.,请在设置中启用保存照片的权限。,Vui lòng cấp quyền lưu ảnh
Photos And Videos Permission Denied,照片和视频权限被拒绝,Truy cập bị từ chối
Planned Inspection Date,计划检验日期,Ngày kiểm tra dự kiến
Difference between order & actual quantity exceeds the allowed limit,订单与实际数量之间的差异超过允许限制,Chênh lệch giữa số lượng đặt hàng và số lượng thực tế vượt quá giới hạn cho phép.
AI Risk Rating,AI风险评级,Đánh giá rủi ro AI
High Risk,高风险,Rủi ro cao
Medium Risk,中风险,Rủi ro trung bình
Click to view details,点击查看详情,Xem chi tiết
One or more items have risk of failure,一个或多个项目有不合格风险,Có nguy cơ lỗi
Revert to Round {},恢复到第{}轮,Trở lại Vòng {}
Start Round {},开始第{}轮,Bắt đầu Vòng {}
{} selected,已选择{},{} đã chọn
"Server not reachable, please check your network.",无法连接服务器，请检查您的网络。,Lỗi kết nối máy chủ
Show Pending to Sync Only,仅显示待同步项目,Chỉ hiện chờ đồng bộ
Store Audit,商店审核,Kiểm toán cửa hàng
Switch and manage your accounts here,在此切换和管理您的账户,Quản lý tài khoản
Change User,更换用户,Đổi người dùng
Sync All,全部同步,Đồng bộ tất cả
No booking is downloaded. \n No report is uploaded.,没有下载的预订。\n 没有上传的报告。,Chưa có dữ liệu đặt lịch hoặc báo cáo.
This Booking Version’s Report(s) Only,仅此预订版本的报告,Chỉ báo cáo phiên bản đặt lịch này
Total Booking Quantity,预订总数量,Tổng lượng đặt lịch
Total Score,总分数,Tổng điểm
Understand,了解,Đã hiểu
Unknown Mode,未知模式,Chế độ không xác định
Templete Lookup,模板查找,Tra cứu mẫu